,product-ratingsContainer,product-ratingsCount,product-base href,product-brand,product-product,product-sizeInventoryPresent,product-discountedPrice,product-strike,product-discountPercentage,product-category
5447,4.0,457,https://www.myntra.com/shirts/english-navy/english-navy-men-black-slim-fit-solid-formal-shirt/8714411/buy,English Navy,Men Slim Fit Formal Shirt,38,Rs. 498,Rs. 999,(Rs. 501 OFF),topwear
5448,4.2,296,https://www.myntra.com/tshirts/herenow/herenow-men-teal-blue-printed-round-neck-pure-cotton-t-shirt/15609926/buy,HERE&NOW,Men Printed T-shirt,S,Rs. 319,Rs. 799,(60% OFF),topwear
5449,3.9,97,https://www.myntra.com/tshirts/herenow/herenow-men-navy-blue-round-neck-t-shirt/17107102/buy,HERE&NOW,Men Round Neck T-shirt,S,Rs. 319,Rs. 799,(60% OFF),topwear
5450,3.6,85,https://www.myntra.com/shirts/ketch/ketch-men-white-slim-fit-tartan-checks-checked-casual-shirt/16904226/buy,KETCH,Slim Fit Casual Shirt,39,Rs. 449,Rs. 999,(Rs. 550 OFF),topwear
5451,0.0,0,https://www.myntra.com/tshirts/v-mart/v-mart-polo-collar-cotton-t-shirt/22204140/buy,V-Mart,Polo Collar  Cotton T-shirt,M,Rs. 299,Rs. 349,(Rs. 50 OFF),topwear
5452,4.3,851,https://www.myntra.com/shirts/roadster/the-roadster-lifestyle-co-men-pure-cotton-solid-band-collar-casual-shirt/11896092/buy,Roadster,Men Pure Cotton Casual Shirt,42,Rs. 449,Rs. 1499,(70% OFF),topwear
5453,4.6,27,https://www.myntra.com/tshirts/metronaut/metronaut-men-maroon--grey-brand-logo-printed-t-shirt/18785986/buy,Metronaut,Men Brand Logo Printed T-shirt,S,Rs. 279,Rs. 799,(65% OFF),topwear
5454,3.8,21,https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-yoga-men-aleutian-geometric-print-organic-cotton-rapid-dry-sustainable-t-shirt/14701934/buy,HRX by Hrithik Roshan,Yoga Rapid-Dry Cotton Sustainable T-shirt,XL,Rs. 324,Rs. 1299,(75% OFF),topwear
5455,4.5,6,https://www.myntra.com/tshirts/mast--harbour/mast--harbour-round-neck-typography-printed-pure-cotton-t-shirt/21090302/buy,Mast & Harbour,Typography Pure Cotton T-shirt,S,Rs. 314,Rs. 699,(55% OFF),topwear
5456,0.0,0,https://www.myntra.com/tshirts/rodzen/rodzen-typography-printed-pure-cotton-t-shirt/22634974/buy,Rodzen,Printed Pure Cotton T-shirt,L,Rs. 314,Rs. 1499,(79% OFF),topwear
5457,4.3,68,https://www.myntra.com/tshirts/herenow/herenow-men-white-typography-printed-t-shirt/17929660/buy,HERE&NOW,Men Typography Printed T-shirt,S,Rs. 279,Rs. 699,(60% OFF),topwear
5458,0.0,0,https://www.myntra.com/shirts/dennis-lingo/dennis-lingo-gingham-checks-slim-fit-cotton-casual-shirt/22326570/buy,Dennis Lingo,Slim Fit Cotton Casual Shirt,38,Rs. 499,Rs. 2399,(Rs. 1900 OFF),topwear
5459,4.3,7,https://www.myntra.com/shirts/roadster/roadster-men-navy-blue-comfort-tartan-checked-cotton-shirt/19847426/buy,Roadster,Tartan Checked Cotton Shirt,38,Rs. 509,Rs. 1699,(70% OFF),topwear
5460,4.2,132,https://www.myntra.com/shirts/highlander/highlander-men-rust-slim-fit-floral-opaque-printed-casual-shirt/15708562/buy,HIGHLANDER,Slim Fit Opaque Casual Shirt,39,Rs. 359,Rs. 1199,(70% OFF),topwear
5461,0.0,0,https://www.myntra.com/shirts/fubar/fubar-modern-mandarin-collar-cotton-casual-shirt/22558904/buy,FUBAR,Mandarin Collar Cotton Shirt,40,Rs. 461,Rs. 1098,(58% OFF),topwear
5462,4.3,18,https://www.myntra.com/tshirts/ether/ether-men-sea-green--white-striped-pure-cotton-t-shirt/17815506/buy,ether,Men Striped Cotton T-shirt,S,Rs. 319,Rs. 799,(60% OFF),topwear
5463,4.2,64,https://www.myntra.com/shirts/highlander/highlander-men-black-slim-fit-printed-casual-shirt/16625906/buy,HIGHLANDER,Slim Fit Casual Shirt,39,Rs. 494,Rs. 1149,(57% OFF),topwear
5464,4.0,115,https://www.myntra.com/shirts/ketch/ketch-men-blue-slim-fit-opaque-casual-shirt/15767972/buy,KETCH,Slim Fit Opaque Casual Shirt,42,Rs. 459,Rs. 1149,(60% OFF),topwear
5465,4.2,94,https://www.myntra.com/shirts/locomotive/locomotive-men-maroon-slim-fit-checked-casual-shirt/10020067/buy,LOCOMOTIVE,Men Slim Fit Casual Shirt,40,Rs. 449,Rs. 1549,(71% OFF),topwear
5466,3.7,51,https://www.myntra.com/shirts/invictus/invictus-men-blue--white-slim-fit-striped-pure-cotton-semiformal-shirt/18637818/buy,INVICTUS,Men Slim Fit Semiformal Shirt,38,Rs. 509,Rs. 1698,(70% OFF),topwear
5467,4.0,31,https://www.myntra.com/tshirts/herenow/herenow-typography-printed-pure-cotton-casual-t-shirt/21464328/buy,HERE&NOW,Pure Cotton Printed T-shirt,S,Rs. 319,Rs. 799,(60% OFF),topwear
5468,0.0,0,https://www.myntra.com/shirts/roadster/roadster-men-blue-classic-printed-cotton-casual-shirt/17577228/buy,Roadster,Casual Shirt,40,Rs. 499,Rs. 1599,(Rs. 1100 OFF),topwear
5469,4.3,28,https://www.myntra.com/tshirts/single/single-men-blue-solid-pure-cotton-slim-fit-t-shirt/17974454/buy,SINGLE,Men Slim Fit T-shirt,S,Rs. 279,Rs. 699,(60% OFF),topwear
5470,3.9,21,https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-printed-rapid-dry-training-or-gym-t-shirt/21464736/buy,HRX by Hrithik Roshan,Rapid-Dry Training T-shirt,S,Rs. 299,Rs. 599,(50% OFF),topwear
5471,4.0,184,https://www.myntra.com/tshirts/locomotive/locomotive-men-grey--pink-printed-slim-fit-cotton-t-shirt/15910104/buy,LOCOMOTIVE,Men Slim Fit Cotton T-shirt,S,Rs. 275,Rs. 949,(71% OFF),topwear
5472,4.0,4k,https://www.myntra.com/tshirts/roadster/roadster-time-travlr-men-rust-orange-sleveless-t-shirt-with-raw-edges/2498514/buy,Roadster,Time Travlr Sleveless T-shirt,S,Rs. 224,Rs. 499,(55% OFF),topwear
5473,3.8,204,https://www.myntra.com/shirts/hancock/hancock-men-pink-slim-fit-solid-formal-shirt/2001471/buy,Hancock,Men Slim Fit Formal Shirt,42,Rs. 496,Rs. 995,(Rs. 499 OFF),topwear
5474,4.4,27,https://www.myntra.com/tshirts/herenow/herenow-typography-printed-pure-cotton-t-shirt/21464360/buy,HERE&NOW,Printed Pure Cotton T-shirt,M,Rs. 319,Rs. 799,(60% OFF),topwear
5475,4.2,111,https://www.myntra.com/tshirts/herenow/herenow-men-mauve--white-printed-t-shirt/16260422/buy,HERE&NOW,Men Printed T-shirt,L,Rs. 319,Rs. 799,(60% OFF),topwear
5476,4.2,178,https://www.myntra.com/tshirts/highlander/highlander-men-yellow-printed-round-neck-t-shirt/14014778/buy,HIGHLANDER,Printed Round Neck T-shirt,L,Rs. 292,Rs. 649,(55% OFF),topwear
5477,4.7,20,https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-brand-logo-printed-training-rapid-dry-t-shirt/21464734/buy,HRX by Hrithik Roshan,Training Rapid-Dry T-shirt,L,Rs. 299,Rs. 599,(50% OFF),topwear
5478,3.8,15,https://www.myntra.com/shirts/locomotive/locomotive-men-white--blue-slim-fit-cotton-casual-shirt/17902486/buy,LOCOMOTIVE,Slim Fit Cotton Casual Shirt,39,Rs. 494,Rs. 1649,(70% OFF),topwear
5479,4.2,93,https://www.myntra.com/tshirts/roadster/the-roadster-life-co-solid-pure-cotton-casual-t-shirt/21422914/buy,Roadster,Solid Pure Cotton T-shirt,S,Rs. 299,Rs. 499,(40% OFF),topwear
5480,4.0,27,https://www.myntra.com/tshirts/encore-by-invictus/encore-by-invictus-men-solid-t-shirt/20034876/buy,encore by INVICTUS,Men Solid T-shirt,S,Rs. 279,Rs. 698,(60% OFF),topwear
5481,4.5,13,https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-rapid-dry-training-t-shirt/21464692/buy,HRX by Hrithik Roshan,Rapid-Dry Training T-shirt,M,Rs. 299,Rs. 599,(50% OFF),topwear
5482,3.4,7,https://www.myntra.com/shirts/valen-club/valen-club-men-grey-slim-fit-printed-casual-shirt/19799230/buy,VALEN CLUB,Slim Fit Casual Shirt,36,Rs. 499,Rs. 2499,(80% OFF),topwear
5483,4.2,608,https://www.myntra.com/shirts/roadster/roadster-men-khaki-regular-fit-solid-sustainable-casual-shirt/2127880/buy,Roadster,Men Regular Fit Sustainable Casual Shirt,38,Rs. 499,Rs. 999,(50% OFF),topwear
5484,4.5,32,https://www.myntra.com/tshirts/roadster/roadster-the-lifestyle-co-raglan-sleeves-pure-cotton-t-shirt/21423498/buy,Roadster,Raglan Sleeves Cotton T-shirt,S,Rs. 199,Rs. 399,(50% OFF),topwear
5485,4.4,27,https://www.myntra.com/tshirts/herenow/herenow-men-pure-cotton-typography-printed-t-shirt/21464250/buy,HERE&NOW,Pure Cotton Printed T-shirt,S,Rs. 319,Rs. 799,(60% OFF),topwear
5486,4.2,273,https://www.myntra.com/tshirts/locomotive/locomotive-men-green-printed-round-neck-t-shirt/13671224/buy,LOCOMOTIVE,Printed Round Neck T-shirt,M,Rs. 279,Rs. 649,(57% OFF),topwear
5487,0.0,0,https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-rapid-dry-anti-microbial-training-t-shirt/21464584/buy,HRX by Hrithik Roshan,Rapid-Dry Training T-shirt,M,Rs. 299,Rs. 599,(50% OFF),topwear
5488,4.2,20,https://www.myntra.com/tshirts/ether/ether-men-solid-drop-shoulder-sleeves-pure-cotton-t-shirt/20121314/buy,ether,Drop-Shoulder Sleeves T-shirt,S,Rs. 209,Rs. 699,(70% OFF),topwear
5489,3.8,399,https://www.myntra.com/tshirts/highlander/highlander-men-charcoal-grey--black-printed-t-shirt/1847904/buy,HIGHLANDER,Printed Round Neck T-shirt,S,Rs. 314,Rs. 699,(55% OFF),topwear
5490,0.0,0,https://www.myntra.com/tshirts/lux-nitro/lux-nitro-polo-collar-anti-odour-pockets-t-shirt/23123486/buy,LUX NITRO,Polo Collar Pockets T-shirt,XXL,Rs. 315,Rs. 351,(10% OFF),topwear
5491,4.0,5,https://www.myntra.com/tshirts/lux-nitro/lux-nitro-polo-collar-anti-odour-pure-cotton-t-shirt/22326822/buy,LUX NITRO,Anti Odour Polo Collar T-shirt,S,Rs. 315,Rs. 351,(10% OFF),topwear
5492,3.9,36,https://www.myntra.com/shirts/english-navy/english-navy-men-white-classic-slim-fit-casual-shirt/16759230/buy,English Navy,Slim Fit Casual Shirt,38,Rs. 498,Rs. 999,(Rs. 501 OFF),topwear
5493,3.8,196,https://www.myntra.com/tshirts/highlander/highlander-men-olive-green-striped-round-neck-t-shirt/10004119/buy,HIGHLANDER,Striped Round Neck T-shirt,M,Rs. 286,Rs. 699,(59% OFF),topwear
5494,0.0,0,https://www.myntra.com/tshirts/tripr/tripr-colourblocked-cotton-t-shirt/22579346/buy,TRIPR,Colourblocked Cotton T-shirt,L,Rs. 293,Rs. 1399,(79% OFF),topwear
5495,4.2,76,https://www.myntra.com/shirts/mast--harbour/mast--harbour-men-teal-blue--orange-slim-fit-floral-printed-pure-cotton-casual-shirt/16284004/buy,Mast & Harbour,Slim Pure Cotton Casual Shirt,38,Rs. 509,Rs. 1699,(70% OFF),topwear
5496,4.2,79,https://www.myntra.com/shirts/roadster/the-roadster-lifestyle-co-men-teal--navy-blue-regular-fit-printed-casual-shirt/13663750/buy,Roadster,Regular Fit Casual Shirt,40,Rs. 449,Rs. 1499,(70% OFF),topwear
5497,4.0,63,https://www.myntra.com/shirts/highlander/highlander-men-floral-printed-knitted-party-wear-casual-shirt/21062710/buy,HIGHLANDER,Party Wear Casual Shirt,39,Rs. 499,Rs. 1249,(60% OFF),topwear
5498,4.5,4,https://www.myntra.com/tshirts/max/max-typography-printed-pure-cotton-t-shirt/22148130/buy,max,Printed Pure Cotton T-shirt,S,Rs. 298,Rs. 299,(Rs. 1 OFF),topwear
5499,4.6,5,https://www.myntra.com/tshirts/herenow/herenow-men-earthy-red-abstract-printed-reimagined-logo-pure-cotton-t-shirt/21464378/buy,HERE&NOW,Cotton Reimagined Logo T-shirt,S,Rs. 319,Rs. 799,(60% OFF),topwear
5500,4.2,5,https://www.myntra.com/tshirts/manq-casual/manq-casual-men-black--white-slim-fit-striped-henley-neck-t-shirt/12225608/buy,ManQ CASUAL,Slim Fit Striped T-shirt,M,Rs. 278,Rs. 899,(69% OFF),topwear
5501,2.7,6,https://www.myntra.com/tshirts/encore-by-invictus/encore-by-invictus-men-colourblocked-t-shirt/20034842/buy,encore by INVICTUS,Men Colourblocked T-shirt,S,Rs. 319,Rs. 798,(60% OFF),topwear
5502,3.9,132,https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-lifestyle-men-white-bio-wash-typography-tshirt/14703118/buy,HRX by Hrithik Roshan,Lifestyle Bio-Wash Tshirt,S,Rs. 307,Rs. 699,(56% OFF),topwear
5503,3.1,13,https://www.myntra.com/tshirts/lux-nitro/lux-nitro-round-neck-anti-odour-regular-fit-cotton-t-shirt/22643704/buy,LUX NITRO,Round Neck Cotton T-Shirt,S,Rs. 199,Rs. 210,(5% OFF),topwear
5504,4.2,21,https://www.myntra.com/shirts/majestic-man/majestic-man-men-lavender-slim-fit-casual-shirt/19308034/buy,Majestic Man,Slim Fit Casual Shirt,38,Rs. 499,Rs. 1499,(Rs. 1000 OFF),topwear
5505,4.3,127,https://www.myntra.com/tshirts/herenow/herenow-men-teal-green-geometric-printed-t-shirt/17107104/buy,HERE&NOW,Men Printed T-shirt,XL,Rs. 319,Rs. 799,(60% OFF),topwear
5506,4.1,21,https://www.myntra.com/tshirts/herenow/herenow-deep-navy-blue--green-typography-printed-reimagined-logo-pure-cotton-t-shirt/21464366/buy,HERE&NOW,Cotton Reimagined Logo T-shirt,S,Rs. 319,Rs. 799,(60% OFF),topwear
5507,4.1,24,https://www.myntra.com/tshirts/mast--harbour/mast--harbour-men-pure-cotton-typography-printed-applique-t-shirt/21090372/buy,Mast & Harbour,Men Pure Cotton T-shirt,S,Rs. 314,Rs. 699,(55% OFF),topwear
5508,3.7,16,https://www.myntra.com/shirts/roadster/the-roadster-lifestyle-co-men-blue-printed-casual-shirt/17374780/buy,Roadster,Men Printed Casual Shirt,40,Rs. 512,Rs. 1899,(73% OFF),topwear
5509,0.0,0,https://www.myntra.com/shirts/dennis-lingo/dennis-lingo-men-brown-comfort-slim-fit-casual-shirt/16525636/buy,Dennis Lingo,Slim Fit Casual Shirt,38,Rs. 449,Rs. 2299,(Rs. 1850 OFF),topwear
5510,4.0,94,https://www.myntra.com/tshirts/herenow/herenow-men-brown--white-printed-pure-cotton-t-shirt/15804674/buy,HERE&NOW,Men Printed T-shirt,M,Rs. 319,Rs. 799,(60% OFF),topwear
5511,3.8,9,https://www.myntra.com/shirts/invictus/invictus-men-blue-estillo-slim-fit-iron-free-casual-shirt/18921238/buy,INVICTUS,Estillo Slim Fit Casual Shirt,38,Rs. 519,Rs. 1298,(60% OFF),topwear
5512,4.2,39,https://www.myntra.com/shirts/highlander/highlander-men-yellow-slim-fit-printed-casual-shirt/19013198/buy,HIGHLANDER,Slim Fit Casual Shirt,39,Rs. 515,Rs. 1199,(57% OFF),topwear
5513,4.3,60,https://www.myntra.com/tshirts/roadster/the-roadster-life-co-henley-neck-pure-cotton-t-shirt/21423422/buy,Roadster,Henley Neck Cotton T-shirt,M,Rs. 199,Rs. 399,(50% OFF),topwear
5514,4.3,46,https://www.myntra.com/tshirts/herenow/herenow-pure-cotton-t-shirt/21464260/buy,HERE&NOW,Pure Cotton T-shirt,M,Rs. 279,Rs. 699,(60% OFF),topwear
5515,4.2,1.2k,https://www.myntra.com/shirts/highlander/highlander-men-olive-green-slim-fit-printed-casual-shirt/10863420/buy,HIGHLANDER,Men Slim Fit Casual Shirt,39,Rs. 494,Rs. 1099,(55% OFF),topwear
5516,4.1,34,https://www.myntra.com/shirts/roadster/roadster-men-olive-green-solid-pure-cotton-casual-shirt/20195564/buy,Roadster,Men Solid Cotton Casual Shirt,38,Rs. 509,Rs. 1699,(70% OFF),topwear
5517,3.9,12,https://www.myntra.com/shirts/gritstones/gritstones-men-turquoise-blue-comfort--full-sleeves-casual-shirt/18620958/buy,GRITSTONES,Men Casual Shirt,38,Rs. 499,Rs. 1999,(75% OFF),topwear
5518,4.5,419,https://www.myntra.com/shirts/highlander/highlander-men-rust-slim-fit-floral-opaque-printed-casual-shirt/15517986/buy,HIGHLANDER,Slim Fit Opaque Casual Shirt,40,Rs. 517,Rs. 1149,(55% OFF),topwear
5519,4.7,6,https://www.myntra.com/shirts/v-mart/v-mart-micro-ditsy-printed-short-sleeves-cotton-casual-shirt/22497616/buy,V-Mart,Printed Cotton Casual Shirt,42,Rs. 449,Rs. 499,(10% OFF),topwear
5520,4.3,30,https://www.myntra.com/tshirts/mast--harbour/mast--harbour-round-neck-typography-printed-pure-cotton-t-shirt/21090108/buy,Mast & Harbour,Typography Pure Cotton T-shirt,S,Rs. 314,Rs. 699,(55% OFF),topwear
5521,0.0,0,https://www.myntra.com/shirts/roadster/roadster-men-blue-comfort-tartan-checked-cotton-shirt/19847404/buy,Roadster,Tartan Checked Cotton Shirt,40,Rs. 509,Rs. 1699,(70% OFF),topwear
5522,4.1,31,https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-lifestyle-men-black--white-bio-wash-geometric-tshirts/16938308/buy,HRX by Hrithik Roshan,Lifestyle Bio-Wash Tshirts,S,Rs. 314,Rs. 899,(65% OFF),topwear
5523,4.1,34,https://www.myntra.com/shirts/roadster/the-roadster-lifestyle-co-men-rust-orange--black-printed-pure-cotton-casual-shirt/17050516/buy,Roadster,Pure Cotton Casual Shirt,40,Rs. 458,Rs. 1699,(73% OFF),topwear
5524,3.7,34,https://www.myntra.com/shirts/locomotive/locomotive-men-blue-slim-fit-checked-casual-shirt/12472358/buy,LOCOMOTIVE,Slim Fit Casual Shirt,40,Rs. 492,Rs. 1699,(71% OFF),topwear
5525,0.0,0,https://www.myntra.com/tshirts/single/single-men-orange-printed-slim-fit-pure-cotton-t-shirt/17974480/buy,SINGLE,Men Printed Slim Fit T-shirt,L,Rs. 319,Rs. 799,(60% OFF),topwear
5526,4.3,29,https://www.myntra.com/shirts/roadster/the-roadster-lifestyle-co-men-blue-printed-pure-cotton-casual-shirt/17374654/buy,Roadster,Men Printed Casual Shirt,40,Rs. 512,Rs. 1899,(73% OFF),topwear
5527,4.1,193,https://www.myntra.com/sweatshirts/locomotive/locomotive-men-grey--black-printed-hooded-sweatshirt/13173986/buy,LOCOMOTIVE,Printed Sweatshirt,L,Rs. 467,Rs. 2599,(82% OFF),topwear
5528,4.5,49,https://www.myntra.com/tshirts/roadster/the-roadster-lifestyle-co-men-pure-cotton-solid-raglan-sleeves-t-shirt/21423474/buy,Roadster,Men Pure Cotton T-shirt,S,Rs. 299,Rs. 499,(40% OFF),topwear
5529,4.2,209,https://www.myntra.com/shirts/ether/ether-men-navy-blue-knitted-regular-fit-casual-shirt/11900424/buy,ether,Knitted Casual Shirt,38,Rs. 479,Rs. 1499,(68% OFF),topwear
5530,4.2,11,https://www.myntra.com/tshirts/roadster/the-roadster-lifestyle-co-men-pure-cotton-t-shirt/21423510/buy,Roadster,Men Cotton T-shirt,S,Rs. 299,Rs. 599,(50% OFF),topwear
5531,4.2,53,https://www.myntra.com/shirts/ketch/ketch-men-blue-slim-fit-opaque-colourblocked-casual-shirt/16029770/buy,KETCH,Slim Fit Opaque Casual Shirt,42,Rs. 459,Rs. 1149,(60% OFF),topwear
5532,4.2,779,https://www.myntra.com/tshirts/herenow/herenow-men-black-printed-round-neck-pure-cotton-t-shirt/12817294/buy,HERE&NOW,Printed Round Neck Pure Cotton T-shirt,S,Rs. 279,Rs. 699,(60% OFF),topwear
5533,4.2,662,https://www.myntra.com/shirts/roadster/roadster-men-olive-green--navy-blue-printed-sustainable-casual-shirt/7255990/buy,Roadster,Men Casual Shirt,38,Rs. 479,Rs. 1499,(68% OFF),topwear
5534,3.6,142,https://www.myntra.com/shirts/ketch/ketch-men-navy-blue-slim-fit-tartan-checks-opaque-checked-casual-shirt/15836024/buy,KETCH,Slim Fit Opaque Casual Shirt,39,Rs. 449,Rs. 899,(Rs. 450 OFF),topwear
5535,3.7,23,https://www.myntra.com/shirts/invictus/invictus-men-purple-self-design-slim-fit-casual-shirt/18921224/buy,INVICTUS,Men Slim Fit Casual Shirt,39,Rs. 519,Rs. 1298,(60% OFF),topwear
5536,3.9,1.4k,https://www.myntra.com/tshirts/herenow/herenow-men-red-brand-logo-printed-round-neck-t-shirt/12817386/buy,HERE&NOW,Men Brand Logo Printed T-shirt,S,Rs. 279,Rs. 699,(60% OFF),topwear
5537,4.0,345,https://www.myntra.com/shirts/highlander/highlander-men-white-slim-fit-opaque-printed-casual-shirt/15782164/buy,HIGHLANDER,Slim Fit Opaque Casual Shirt,40,Rs. 467,Rs. 1199,(61% OFF),topwear
5538,4.1,1.3k,https://www.myntra.com/shirts/locomotive/locomotive-men-blue--grey-slim-fit-printed-casual-shirt/10450360/buy,LOCOMOTIVE,Men Slim Fit Casual Shirt,40,Rs. 485,Rs. 1349,(64% OFF),topwear
5539,4.3,51,https://www.myntra.com/tshirts/roadster/roadster-men-t-shirt/21422656/buy,Roadster,Men T-shirt,M,Rs. 199,Rs. 399,(50% OFF),topwear
5540,4.3,18,https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-regular-fit-training-rapid-dry-t-shirt/21464582/buy,HRX by Hrithik Roshan,Training Rapid-Dry T-shirt,M,Rs. 299,Rs. 599,(50% OFF),topwear
5541,4.0,524,https://www.myntra.com/shirts/locomotive/locomotive-men-red--yellow-slim-fit-striped-casual-shirt/14009448/buy,LOCOMOTIVE,Slim Fit Casual Shirt,39,Rs. 499,Rs. 1299,(Rs. 800 OFF),topwear
5542,3.8,225,https://www.myntra.com/sweatshirts/locomotive/locomotive-men-black-printed-hooded-sweatshirt/13207278/buy,LOCOMOTIVE,Printed Sweatshirt,S,Rs. 474,Rs. 2499,(81% OFF),topwear
5543,4.6,26,https://www.myntra.com/tshirts/herenow/herenow-men-white-printed-pure-cotton-t-shirt/20374844/buy,HERE&NOW,Men Pure Cotton T-shirt,S,Rs. 319,Rs. 799,(60% OFF),topwear
5544,3.8,1.2k,https://www.myntra.com/tshirts/herenow/herenow-men-white-printed--pure-cotton-t-shirt/12816890/buy,HERE&NOW,Men   Pure Cotton T-shirt,S,Rs. 279,Rs. 699,(60% OFF),topwear
5545,3.8,53,https://www.myntra.com/shirts/dennis-lingo/dennis-lingo-men-teal-blue-slim-fit-checked-casual-shirt/6712291/buy,Dennis Lingo,Men Slim Fit Casual Shirt,42,Rs. 499,Rs. 2499,(Rs. 2000 OFF),topwear
5546,3.7,15,https://www.myntra.com/shirts/dennis-lingo/dennis-lingo-men-navy-blue-modern-slim-fit-opaque-casual-shirt/15187572/buy,Dennis Lingo,Slim Fit Opaque Casual Shirt,38,Rs. 499,Rs. 2299,(Rs. 1800 OFF),topwear
5547,4.1,66,https://www.myntra.com/tshirts/roadster/the-roadster-life-co-henley-neck-t-shirt/21423544/buy,Roadster,Henley Neck T-shirt,S,Rs. 199,Rs. 399,(50% OFF),topwear
5548,4.1,30,https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-white-pure-cotton-t-shirt/16938290/buy,HRX by Hrithik Roshan,Men Pure Cotton T-shirt,XL,Rs. 279,Rs. 699,(60% OFF),topwear
5549,4.1,398,https://www.myntra.com/shirts/roadster/the-roadster-lifestyle-co-men-olive-green--black-regular-fit-printed-sustainable-casual-shirt/10944476/buy,Roadster,Regular Fit Printed Shirt,38,Rs. 511,Rs. 1599,(68% OFF),topwear
5550,4.2,1.1k,https://www.myntra.com/tshirts/herenow/herenow-men-maroon-printed-round-neck-pure-cotton-t-shirt/12816464/buy,HERE&NOW,Printed Round Neck Pure Cotton T-shirt,S,Rs. 279,Rs. 699,(60% OFF),topwear
5551,4.0,105,https://www.myntra.com/tshirts/highlander/highlander-men-blue-typography-printed-slim-fit-cotton-t-shirt/16098798/buy,HIGHLANDER,Men Slim Fit Cotton T-shirt,M,Rs. 300,Rs. 699,(57% OFF),topwear
5552,0.0,0,https://www.myntra.com/tshirts/herenow/herenow-men-white--blue-typography-printed-pure-cotton-t-shirt/19690024/buy,HERE&NOW,Men Typography Printed T-shirt,S,Rs. 314,Rs. 899,(65% OFF),topwear
5553,4.0,2.7k,https://www.myntra.com/tshirts/roadster/roadster-men-blue-solid-round-neck-t-shirt/11126660/buy,Roadster,Solid Round Neck T-shirt,M,Rs. 224,Rs. 499,(55% OFF),topwear
5554,4.5,10,https://www.myntra.com/tshirts/herenow/herenow-typography-printed-pure-cotton-t-shirt/21464224/buy,HERE&NOW,Printed Pure Cotton T-shirt,S,Rs. 319,Rs. 799,(60% OFF),topwear
5555,4.0,69,https://www.myntra.com/shirts/highlander/highlander-men-blue-slim-fit-casual-shirt/17504734/buy,HIGHLANDER,Slim Fit Casual Shirt,39,Rs. 499,Rs. 1249,(60% OFF),topwear
5556,4.2,13,https://www.myntra.com/tshirts/roadster/the-roadster-lifestyle-co-pure-cotton-t-shirt/21423464/buy,Roadster,Pure Cotton T-shirt,S,Rs. 299,Rs. 599,(50% OFF),topwear
5557,2.9,7,https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-typography-printed-rapid-dry-training-or-gym-t-shirt/21464556/buy,HRX by Hrithik Roshan,Rapid-Dry Training T-shirt,S,Rs. 299,Rs. 599,(50% OFF),topwear
5558,3.9,127,https://www.myntra.com/shirts/highlander/highlander-men-blue-slim-fit-printed-cotton-casual-shirt/17705940/buy,HIGHLANDER,Slim Fit Casual Shirt,40,Rs. 359,Rs. 1199,(70% OFF),topwear
5559,0.0,0,https://www.myntra.com/tshirts/max/max-men-typography-printed-cotton-t-shirt/21660750/buy,max,Men Typography Printed T-shirt,S,Rs. 298,Rs. 299,(Rs. 1 OFF),topwear
5560,4.5,15,https://www.myntra.com/tshirts/herenow/herenow-typography-printed-pure-cotton-t-shirt/21464242/buy,HERE&NOW,Typography Printed T-shirt,S,Rs. 319,Rs. 799,(60% OFF),topwear
5561,4.2,71,https://www.myntra.com/shirts/english-navy/english-navy-men-black-classic-slim-fit-casual-shirt/16759232/buy,English Navy,Slim Fit Casual Shirt,38,Rs. 488,Rs. 999,(Rs. 511 OFF),topwear
5562,0.0,0,https://www.myntra.com/shirts/joven/joven-slim-fit-floral-printed-casual-shirt/22937928/buy,Joven,Slim Fit Printed Casual Shirt,38,Rs. 499,Rs. 1999,(75% OFF),topwear
5563,2.6,5,https://www.myntra.com/shirts/encore-by-invictus/encore-by-invictus-men-checked-casual-shirt/20431674/buy,encore by INVICTUS,Men Checked Casual Shirt,38,Rs. 519,Rs. 1298,(60% OFF),topwear
5564,0.0,0,https://www.myntra.com/shirts/high-star/high-star-men-checked-cotton-slim-fit-casual-shirt/21288622/buy,High Star,Checked Cotton Casual Shirt,38,Rs. 499,Rs. 1799,(Rs. 1300 OFF),topwear
5565,4.3,38,https://www.myntra.com/shirts/gritstones/gritstones-men-black-comfort-casual-shirt/18620936/buy,GRITSTONES,Casual Shirt,40,Rs. 499,Rs. 1999,(75% OFF),topwear
